the KA Global Club Rating 4Q 2025;;;;;;;;
;Club;Country;Conf/Fed Continent;Class;;Coef;+/- Place;
1;Paris Saint-Germain;FRA;UEFA;High Supreme;★★★★★★;1,880;≡;
2;Arsenal FC;ENG;UEFA;High Supreme;★★★★★★;1,827;+2;
3;Real Madrid CF;ESP;UEFA;High Supreme;★★★★★★;1,825;-1;
4;Bayern München;GER;UEFA;High Supreme;★★★★★★;1,750;-1;
5;Internazionale Milano;ITA;UEFA;High Supreme;★★★★★★;1,698;≡;
6;FC Barcelona;ESP;UEFA;High Supreme;★★★★★★;1,614;≡;
7;Manchester City;ENG;UEFA;High Supreme;★★★★★★;1,608;≡;
8;Borussia Dortmund;GER;UEFA;High Premium;★★★★★;1,538;+1;
9;Liverpool FC;ENG;UEFA;High Premium;★★★★★;1,525;-1;
10;Atlético de Madrid;ESP;UEFA;High Premium;★★★★★;1,504;≡;
11;Chelsea FC;ENG;UEFA;High Premium;★★★★★;1,438;≡;
12;Aston Villa;ENG;UEFA;High Premium;★★★★★;1,416;≡;
13;Flamengo;BRA;CONMEBOL;High Premium;★★★★★;1,386;+11;
14;Al-Hilal Saudi FC;KSA;AFC;High Premium;★★★★★;1,354;≡;
15;Palmeiras;BRA;CONMEBOL;Grand Master;★★★★;1,334;-2;
16;AS Roma;ITA;UEFA;Grand Master;★★★★;1,318;≡;
17;Manchester United;ENG;UEFA;Grand Master;★★★★;1,306;≡;
18;Benfica;POR;UEFA;Grand Master;★★★★;1,276;-3;
19;Bayer 04 Leverkusen;GER;UEFA;Grand Master;★★★★;1,257;+2;
20;FC Porto;POR;UEFA;Grand Master;★★★★;1,239;-2;
21;AC Milan;ITA;UEFA;Grand Master;★★★★;1,233;-1;
22;Atalanta BC;ITA;UEFA;Grand Master;★★★★;1,222;-3;
23;Juventus;ITA;UEFA;Grand Master;★★★★;1,217;-1;
24;Cruz Azul;MEX;CONCACAF;Grand Master;★★★★;1,213;-1;
25;PSV Eindhoven;NED;UEFA;Grand Master;★★★★;1,201;+8;
26;Tottenham Hotspur FC;ENG;UEFA;Grand Master;★★★★;1,171;+8;
27;Al-Ahli Saudi FC;KSA;AFC;Grand Master;★★★★;1,170;-2;
28;Sporting CP;POR;UEFA;Grand Master;★★★★;1,167;-1;
29;Al-Nassr Saudi FC;KSA;AFC;Grand Master;★★★★;1,136;+3;
30;Inter Miami CF;USA;CONCACAF;Grand Master;★★★★;1,126;+5;
31;RB Leipzig;GER;UEFA;Grand Master;★★★★;1,120;-1;
32;Lazio;ITA;UEFA;Principal Master;★★★;1,112;-3;
33;Vancouver Whitecaps;CAN;CONCACAF;Principal Master;★★★;1,105;+3;
34;Club Brugge;BEL;UEFA;Principal Master;★★★;1,101;-3;
35;Seattle Sounders FC;USA;CONCACAF;Principal Master;★★★;1,093;+3;
36;São Paulo FC;BRA;CONMEBOL;Principal Master;★★★;1,088;+28;
37;Al-Ahly SC;EGY;CAF;Principal Master;★★★;1,080;-9;
