Pos 2026;Equipo;País;Histórico ;Performance ;Puntos;Desempeño 2025;Desempeño 2025
1;Palmeiras; Brasil;1157.6;8671.0;9828.6;Finalista;
2;Flamengo; Brasil;694.0;8609.1;9303.1;Campeón;
3;River Plate; Argentina;2626.8;6136.0;8762.8;Cuartos de final;
4;Boca Juniors; Argentina;2785.2;4574.8;7360.0;;
5;Peñarol; Uruguay;2864.4;3165.0;6029.4;Octavos de final;
6;Atlético Mineiro; Brasil;447.2;5502.0;5949.2;;Finalista
7;São Paulo; Brasil;1764.8;3866.7;5631.5;Cuartos de final;
8;Nacional; Uruguay;2420.4;3100.6;5521.0;Fase de grupos;
9;Racing Club; Argentina;522.8;4789.9;5312.7;Semifinalista;
10;Liga de Quito; Ecuador;930.4;4237.6;5168.0;Semifinalista;
11;Fluminense; Brasil;431.2;4537.3;4968.5;;Cuartos de final
12;Athletico Paranaense; Brasil;289.2;4227.9;4517.1;;
13;Internacional; Brasil;1118.8;3289.3;4408.1;Octavos de final;
14;Grêmio; Brasil;1224.4;3096.2;4320.6;;Play-off de 1/8 final
15;Olimpia; Paraguay;2080.8;2211.6;4292.4;Fase de grupos;
16;Independiente del Valle; Ecuador;24.0;4104.4;4128.4;Fase de grupos;Semifinalista
17;Libertad; Paraguay;595.6;3412.2;4007.8;Octavos de final;
18;Estudiantes de La Plata; Argentina;1286.8;2618.6;3905.4;Cuartos de final;
19;Botafogo; Brasil;215.2;3501.4;3716.6;Octavos de final;
20;Cerro Porteño; Paraguay;1354.0;2354.7;3708.7;Octavos de final;
21;Lanús; Argentina;286.8;3372.1;3658.9;;Campeón
22;Corinthians; Brasil;688.0;2837.7;3525.7;;Fase de grupos
23;Bolívar; Bolivia;1031.6;2435.0;3466.6;Fase de grupos;Cuartos de final
24;Independiente; Argentina;1875.6;1528.8;3404.4;;Octavos de final
25;Colo-Colo; Chile;1272.0;2094.5;3366.5;Fase de grupos;
26;Vélez Sarsfield; Argentina;926.8;2334.5;3261.3;Cuartos de final;
27;Santos; Brasil;1176.4;2061.8;3238.2;;
28;Barcelona SC; Ecuador;1014.0;2162.6;3176.6;Fase de grupos;
29;Cruzeiro; Brasil;1252.8;1698.2;2951.0;;Fase de grupos
30;Atlético Nacional; Colombia;1039.2;1816.2;2855.4;Octavos de final;
31;Fortaleza EC; Brasil;0.0;2325.9;2325.9;Octavos de final;
32;Universitario; Perú;979.6;1267.4;2247.0;Octavos de final;
33;Defensa y Justicia; Argentina;0.0;2223.4;2223.4;;Fase de grupos
34;Junior; Colombia;358.0;1851.0;2209.0;;
35;Universidad Católica; Chile;1116.8;1070.5;2187.3;;
36;América de Cali; Colombia;1420.8;756.5;2177.3;;
37;San Lorenzo; Argentina;791.6;1377.0;2168.6;;
38;Sporting Cristal; Perú;764.0;1300.1;2064.1;Fase de grupos;
39;Universidad de Chile; Chile;803.6;1082.0;1885.6;Fase de grupos;Semifinalista
40;Alianza Lima; Perú;468.8;1411.0;1879.8;Fase de grupos;Cuartos de final
41;The Strongest; Bolivia;440.8;1424.5;1865.3;;
42;Emelec; Ecuador;648.4;1200.8;1849.2;;
43;Bragantino; Brasil;0.0;1646.9;1646.9;;
44;Club Guaraní; Paraguay;448.0;1076.8;1524.8;;Play-off de 1/8 final
45;Independiente Medellín; Colombia;226.0;1280.8;1506.8;;
46;Talleres de Córdoba; Argentina;16.0;1444.4;1460.4;Fase de grupos;
47;Argentinos Juniors; Argentina;318.8;1024.3;1343.1;;
48;Rosario Central; Argentina;422.4;917.3;1339.7;;
49;Melgar; Perú;40.0;1269.2;1309.2;;Fase de grupos
50;Deportivo Táchira; Venezuela;244.0;1054.0;1298.0;Fase de grupos;
51;Deportivo Cali; Colombia;824.0;469.4;1293.4;;
52;Palestino; Chile;130.0;1127.1;1257.1;;Play-off de 1/8 final
53;Independiente Santa Fe; Colombia;442.0;733.6;1175.6;;
54;Millonarios; Colombia;522.8;609.3;1132.1;;
55;Jorge Wilstermann; Bolivia;322.0;747.7;1069.7;;
56;Caracas FC; Venezuela;228.0;837.1;1065.1;;
57;Deportes Tolima; Colombia;202.8;854.9;1057.7;;
58;Once Caldas; Colombia;354.0;693.0;1047.0;;Cuartos de final
59;Newell's Old Boys; Argentina;521.2;453.3;974.5;;
60;Universidad Católica (Ecuador); Ecuador;40.0;913.8;953.8;;Octavos de final
61;Vasco da Gama; Brasil;457.6;427.5;885.1;;Play-off de 1/8 final
62;Huracán; Argentina;184.4;653.8;838.2;;Octavos de final
63;Bahia; Brasil;73.6;758.2;831.8;Fase de grupos;Play-off de 1/8 final
64;Always Ready; Bolivia;4.0;811.0;815.0;;
65;Colón Santa Fe; Argentina;28.0;721.3;749.3;;
66;Atlético Goianiense; Brasil;4.8;730.8;735.6;;
67;Godoy Cruz; Argentina;40.8;670.5;711.3;;Octavos de final
