Rank;Club;;21/22;22/23;23/24;24/25;25/26;Total;Country
;;;;;;;;Points;Part
1;Real Madrid;Esp;30.00;29.00;34.00;24.50;20.00;137.500;18.146
2;Bayern München;Ger;26.00;27.00;28.00;27.25;27.25;135.500;17.523
3;Internazionale;Ita;18.00;29.00;20.00;40.25;19.75;127.000;19.289
4;Liverpool;Eng;33.00;19.00;20.00;29.50;25.00;126.500;22.359
5;Manchester City;Eng;27.00;33.00;28.00;14.75;22.75;125.500;22.359
6;Paris Saint-Germain;Fra;19.00;19.00;23.00;33.50;19.50;114.000;15.842
7;FC Barcelona;Esp;15.00;9.00;23.00;36.25;23.50;106.750;18.146
8;Arsenal;Eng;;17.00;22.00;36.00;29.50;104.500;22.359
9;Bayer Leverkusen;Ger;14.00;19.00;29.00;23.25;17.25;102.500;17.523
10;Borussia Dortmund;Ger;10.00;18.00;29.00;27.75;16.00;100.750;17.523
11;Chelsea;Eng;25.00;21.00;;30.00;23.25;99.250;22.359
12;AS Roma;Ita;23.00;22.00;21.00;14.50;16.25;96.750;19.289
13;Atlético Madrid;Esp;19.00;8.00;24.00;26.50;17.75;95.250;18.146
14;Benfica;Por;20.00;25.00;14.00;18.75;12.25;90.000;13.853
15;Eintracht Frankfurt;Ger;28.00;16.00;7.00;23.00;9.00;83.000;17.523
16;Atalanta;Ita;16.00;;28.00;21.00;17.50;82.500;19.289
17;Tottenham Hotspur;Eng;5.00;18.00;;32.25;24.75;80.000;22.359
18;Sporting CP Lisbon;Por;16.00;14.00;12.00;14.50;23.00;79.500;13.853
19;Manchester United;Eng;18.00;19.00;7.00;32.50;;76.500;22.359
20;Club Brugge;Bel;7.00;17.00;21.00;15.75;14.50;75.250;12.170
21;FC Porto;Por;10.00;18.00;19.00;9.75;18.00;74.750;13.853
22;Juventus;Ita;20.00;17.00;;16.25;19.00;72.250;19.289
23;PSV Eindhoven;Ned;10.00;11.00;17.00;21.25;12.00;71.250;13.319
24;Feyenoord;Ned;24.00;17.00;8.00;18.00;4.00;71.000;13.319
25;Real Betis;Esp;11.00;16.00;6.00;19.25;18.25;70.500;18.146
26;Fiorentina;Ita;;20.00;22.00;20.00;7.25;69.250;19.289
27;West Ham United;Eng;21.00;29.00;19.00;;;69.000;22.359
28;Aston Villa;Eng;;;17.00;30.25;20.75;68.000;22.359
29;Lille OSC;Fra;17.00;;17.00;24.00;9.75;67.750;15.842
30;AC Milan;Ita;7.00;24.00;16.00;19.00;;66.000;19.289
31;Olympique Lyon;Fra;21.00;;;22.75;21.00;64.750;15.842
32;Napoli;Ita;9.00;25.00;17.00;;12.00;63.000;19.289
33;Olympiakos Piraeus;Gre;8.00;3.00;17.00;18.50;15.75;62.250;9.262
34;RB Leipzig;Ger;17.00;18.00;18.00;8.00;;61.000;17.523
35;Bodø/Glimt;Nor;15.00;3.00;8.00;21.00;13.50;60.500;7.947
36;Glasgow Rangers;Sco;19.00;4.00;14.00;19.25;3.00;59.250;6.330
37;Villarreal;Esp;24.00;12.00;16.00;;7.00;59.000;18.146
;Lazio;Ita;9.00;6.00;18.00;26.00;;59.000;19.289
39;Ajax;Ned;22.00;8.00;5.00;13.25;10.00;58.250;13.319
40;Fenerbahçe;Tur;5.00;17.00;14.00;11.25;10.50;57.750;9.895
41;Real Sociedad;Esp;9.00;16.00;18.00;14.00;;57.000;18.146
42;AZ Alkmaar;Ned;13.00;19.00;4.00;12.50;8.38;56.875;13.319
43;AS Monaco;Fra;15.00;9.00;;17.00;15.00;56.000;15.842
44;Sporting Braga;Por;16.00;7.00;7.00;7.00;17.75;54.750;13.853
45;FC København;Den;13.00;7.00;15.00;7.38;12.00;54.375;8.321
46;Olympique Marseille;Fra;16.00;8.00;18.00;;12.00;54.000;15.842
47;Viktoria Plzen;Cze;2.50;4.00;17.00;13.25;13.75;50.500;9.445
48;Shakhtar Donetsk;Ukr;6.00;11.00;10.00;11.00;12.25;50.250;4.882
49;Galatasaray;Tur;15.00;;8.00;12.75;14.25;50.000;9.895
50;Ferencváros;Hun;3.00;12.00;9.00;10.00;14.25;48.250;5.187
;PAOK Thessaloniki;Gre;13.00;1.50;15.00;7.75;11.00;48.250;9.262
52;Union Saint-Gilloise;Bel;;19.00;8.00;9.00;12.00;48.000;12.170
53;Red Star Belgrade;Srb;15.00;4.00;5.00;10.00;12.50;46.500;5.050
;Dinamo Zagreb;Cro;9.00;7.00;9.00;14.00;7.50;46.500;5.306
55;FC Midtjylland;Den;7.00;8.00;2.50;9.25;19.50;46.250;8.321
56;SC Freiburg;Ger;;15.00;13.00;;17.50;45.500;17.523
57;FC Salzburg;Aut;17.00;9.00;7.00;8.00;4.00;45.000;6.770
58;Celtic;Sco;6.00;6.00;7.00;16.00;9.00;44.000;6.330
;Slavia Praha;Cze;10.00;6.00;15.00;4.00;9.00;44.000;9.445
60;Qarabag FK;Azb;9.00;6.00;11.00;3.00;13.75;42.750;4.587
61;AA Gent;Bel;11.00;11.00;10.00;7.00;;39.000;12.170
